Airline,FlightNum,1-third-minor,1-third-major,1-third-dead,2-third-minor,2-third-major,2-third-dead,3-third-minor,3-third-major,3-third-dead,1-half-minor,1-half-major,1-half-dead,2-half-minor,2-half-major,2-half-dead,DataOrigin,PhaseOfFlight,Time,Place,HasFire,CrushedFuselage,RestraintIntact,Environment,EnergyAbsorption
singapore airlines,6,17,2,15,1,15,64,26,17,0,17,3,41,26,31,34,w,takeoff,night,airport,fire,1,0,dangerous,nogear
british airtours,28,36,0,0,30,0,16,10,0,36,56,0,8,20,0,44,w,takeoff,day,outside,fire,1,0,dangerous,nogear
british midland,92,0,11,22,4,30,13,0,27,11,32,0,34,39,0,13,w,landing,night,outside,fire,1,0,dangerous,gear
china airlines,120,0,0,0,5,0,8,5,0,21,3,0,6,7,0,23,w,landing,day,airport,fire,1,1,clear,nogear
japan air lines,123,0,0,136,0,0,214,36,0,109,0,0,226,4,0,225,w,takeoff,night,outside,fire,1,0,dangerous,nogear
air china,129,4,0,14,5,0,60,24,0,43,7,0,23,26,0,90,w,landing,day,outside,fire,1,0,dangerous,nogear
china airlines,140,0,0,18,7,0,139,0,0,91,7,0,95,0,0,145,w,landing,day,airport,fire,1,0,dangerous,gear
air inter,148,0,0,16,1,0,34,8,0,30,1,0,36,7,0,46,w,landing,night,outside,no-fire,1,0,dangerous,nogear
american airlines,191,0,0,55,0,8,51,10,7,16,0,1,79,10,14,48,w,takeoff,day,outside,fire,1,0,clear,nogear
tans perú,204,3,0,33,25,0,1,29,0,0,7,0,35,46,0,0,w,landing,day,outside,fire,1,0,dangerous,nogear
asiana,214,10,1,0,70,14,0,54,25,3,53,12,0,81,28,3,w,landing,day,airport,fire,1,0,clear,gear
trans asia,222,0,1,13,0,3,15,1,5,16,2,0,23,8,0,20,w,landing,night,outside,fire,1,0,dangerous,gear
delta,232,0,0,54,0,11,61,9,4,6,101,15,20,1,26,118,w,landing,day,airport,fire,1,0,dangerous,gear
united,232,2,7,18,105,8,2,28,25,91,101,15,20,27,26,90,w,landing,day,airport,fire,1,0,dangerous,gear
trans asia,235,0,0,9,2,0,22,12,0,6,0,0,21,14,0,16,w,takeoff,day,outside,no-fire,1,0,dangerous,nogear
southern airlines,242,0,4,24,0,8,21,0,9,15,0,9,32,0,12,29,w,landing,day,outside,fire,1,0,dangerous,gear
varig,254,7,6,0,0,15,0,0,9,12,18,0,0,19,0,12,,landing,day,outside,no-fire,1,0,dangerous,nogear
usair,405,7,2,2,4,4,12,0,2,11,11,5,8,0,3,17,w,takeoff,night,airport,fire,1,0,dangerous,nogear
kenya airways,431,4,0,34,2,0,93,4,0,40,4,0,53,6,0,107,w,takeoff,day,outside,fire,1,0,dangerous,nogear
uruguayan,571,8,3,3,10,2,2,6,1,6,14,3,5,10,3,7,r,landing,day,outside,no-fire,0,0,dangerous,nogear
china airlines,642,62,11,1,100,23,2,81,2,0,110,34,2,134,8,1,w,landing,day,airport,fire,1,0,dangerous,gear
atlantic airways,670,2,0,2,3,0,1,2,0,0,3,0,2,3,3,1,w,landing,day,airport,fire,1,1,clear,gear
scandinavian,751,18,9,0,70,5,0,20,4,0,60,16,0,37,7,0,fr,takeoff,day,outside,no-fire,1,1,dangerous,nogear
air india express,812,1,0,37,1,0,53,6,0,52,1,0,60,7,0,94,fr,landing,day,airport,fire,1,0,dangerous,gear
guarda indonesia,865,24,0,0,101,0,0,142,0,3,125,0,0,142,0,3,w,takeoff,day,outside,fire,1,0,dangerous,gear
japan airlines,907,141,0,0,174,0,6,89,0,1,221,0,3,184,0,4,w,landing,day,outside,no-fire,0,1,dangerous,nogear
ethiopian,961,12,0,11,8,0,72,24,0,34,0,14,35,4,26,85,w,landing,day,outside,no-fire,1,0,dangerous,nogear
usair,1016,0,0,11,0,3,17,0,10,6,1,0,20,13,0,15,w,landing,day,outside,fire,1,0,dangerous,gear
delta,1141,34,0,0,29,2,0,27,0,9,46,0,2,38,0,10,w,takeoff,day,airport,fire,1,0,dangerous,gear
tuninter,1153,4,0,6,6,0,6,10,0,2,6,0,9,14,0,5,w,landing,day,outside,no-fire,1,0,dangerous,nogear
air ontario,1363,2,4,13,8,4,8,17,8,0,7,6,21,20,10,0,w,takeoff,day,airport,fire,1,0,dangerous,nogear
southwest,1380,48,0,0,43,8,1,48,0,0,70,0,0,77,0,1,w,takeoff,day,airport,no-fire,0,1,clear,gear
american airlines,1420,17,16,2,28,21,6,19,4,2,32,21,2,50,20,8,w,landing,night,airport,no-fire,1,0,dangerous,gear
aeroflot,1492,15,0,0,16,3,12,0,2,28,27,2,6,3,3,34,w,takeoff,day,airport,fire,1,1,dangerous,gear
usair,1493,0,8,15,25,3,4,27,0,1,13,10,17,37,1,3,w,landing,night,airport,fire,1,1,dangerous,gear
continental,1713,2,12,7,2,9,14,20,6,3,4,18,16,21,10,9,fr,takeoff,day,airport,fire,1,0,dangerous,gear
pan am,1736,26,0,54,30,0,159,1,0,113,35,0,155,21,0,173,,landing,day,airport,fire,1,0,dangerous,gear
turkish,1951,19,6,5,53,2,0,40,3,0,47,8,5,43,3,0,w,landing,day,outside,no-fire,1,0,dangerous,gear
bek air,2100,9,8,6,16,11,5,32,3,0,32,0,11,46,0,0,,takeoff,day,airport,no-fire,1,0,dangerous,gear
western airlines,2605,0,0,19,0,0,28,12,0,9,0,0,44,12,0,17,,landing,night,airport,fire,1,0,dangerous,gear
lapa,3142,12,0,24,15,0,20,7,0,14,24,0,35,10,0,25,,takeoff,day,airport,fire,1,0,dangerous,gear
crossair,3597,0,0,7,3,0,9,4,0,5,1,0,10,6,0,11,,landing,night,outside,fire,1,0,dangerous,gear
spanair,5022,18,0,32,0,0,55,0,0,60,18,0,67,0,0,80,fr,takeoff,day,airport,fire,1,0,dangerous,gear
aeroflot,6502,6,0,18,7,0,21,8,0,16,10,0,26,11,0,29,,landing,day,airport,no-fire,1,0,dangerous,gear
azerbaijan,8243,0,0,19,9,0,10,22,0,3,1,0,23,30,0,9,,landing,day,airport,fire,1,0,dangerous,gear
aires,8250,35,9,0,21,6,2,38,9,0,46,12,1,47,12,1,w,landing,night,airport,fire,1,1,dangerous,gear
luxair,9642,0,0,4,0,0,6,1,0,8,0,0,6,1,0,12,w,landing,day,outside,no-fire,1,0,dangerous,gear
conviasa,2350,2,0,10,15,0,1,17,0,1,9,0,11,23,0,1,fr,takeoff,day,outside,fire,1,0,dangerous,nogear
